i,j,v
3,17229,6
3,10766,1
3,4091,1
3,2744,25
8,6492,9
3,7870,18
2,17647,1
3,13796,19
3,255,1
6,1315,7
3,4294,18
2,50,61
2,2825,6
3,15531,41
3,13169,7
2,4504,1
3,5952,82
3,6791,1
3,188389,8
3,378,511
3,703,1
3,6376,15
3,3915,1
3,2070,13
8,4322,6
2,13071,1
5,269,1
3,13840,1
3,717,1
3,3486,1
3,9977,3
3,10863,12
3,955,25
2,2924,8
3,1412,1
4,43,19
3,162,112
3,3837,1
3,10365,1
2,45,14
3,305,32
2,357,1
8,3435,6
3,1738,1
8,4655,1
2,2770,16
3,210642,12
8,5713,13
3,239,1188
8,7097,12
3,612,1
3,10936,7
3,4200,1
2,7808,6
2,828,6
3,8460,6
4,302,8
2,661,1
5,83,1
3,16707,7
8,3750,7
2,20883,1
9,238,1
2,623,6
3,1068,17
3,193551,21
9,133,1
2,326,55
3,9051,9
9,269,1
3,19074,13
8,1484,6
8,358,46
3,10447,12
2,4750,6
3,12388,12
3,860,1
2,5243,25
2,3453,6
3,18061,1
3,3771,3
2,1996,32
3,12179,6
8,4525,8
9,187,1
3,3192,1
2,313859,1
2,8274,6
3,188303,30
2,7856,6
3,6586,7
4,2536,1
8,12812,1
8,412,18
2,2433,35
2,559,1
3,8157,6
3,6591,159
3,4795,1
5,12,2
3,16340,1
3,1762,18
8,12480,54
3,10039,12
3,1117,164
2,1180,1
3,400,1
3,4280,2
2,349,2
3,528,894
9,15,1
3,146,1
3,7468,6
3,192617,4
2,10178,1
8,11489,6
2,14471,1
2,16284,6
8,211246,6
4,1062,25
3,6164,1
2,7732,1
3,9027,12
3,3488,13
3,15339,1
8,172,1
3,2134,80
4,2312,6
3,212078,1
2,6445,24
3,334,7
3,264487,1
3,16736,6
2,127,39
8,4262,2
3,5270,7
6,56,1
3,3097,1
3,6381,68
2,13901,1
2,1668,1
3,1231,7
3,298,1
9,201,1
8,472,271
4,138,1
3,16332,1
2,893,3
3,2971,1
6,26,1
3,1537,1
3,2854,6
3,19878,6
3,1891,1
2,190218,4
3,8079,21
3,12443,61
2,4417,56
3,4366,1
3,8528,7
8,216,12
3,8574,1
3,10956,13
3,5844,6
3,9952,13
9,10377,1
3,2084,36
2,6394,17
3,615,13
3,191215,1
2,16203,2
3,7234,7
4,2934,1
2,212722,4
3,14530,1
2,10841,8
3,480,1
3,19629,1
3,2954,1
5,1,13
3,3682,15
2,207568,1
2,762,42
3,189567,1
2,837,1
3,8794,13
3,20376,1
3,330,1
2,688,1
2,8202,2
3,598,7
3,11747,37
3,4802,1
